step	slope_50
595	-0.0021899639855942382
596	-0.0019093397358943593
597	-0.0021764225690276183
598	-0.0004002400960385154
599	-0.0014006242496998745
600	-0.0013359423769507678
601	-0.0010614645858343416
602	0.0004627130852340536
603	0.0009122689075630376
604	0.001854597839135653
605	0.001191932773109251
606	0.001983145258103237
607	0.002307370948379341
608	0.0010618007202881157
609	0.0014976710684273494
610	0.0019537575030011533
611	0.003953085234093651
612	0.004017863145258108
613	0.003929651860744282
614	0.002445090036014381
615	0.00209911164465786
616	0.0026151740696278456
617	0.0018540216086434468
618	0.0014001920768307358
619	0.0015841536614645756
620	0.0007146698679471849
621	0.0003637935174069129
622	0.001696902761104428
623	0.0020568547418967644
624	0.0021023289315726433
625	0.00036187274909964837
626	-0.0001775270108043283
627	0.00011250900360144293
628	0.00028326530612244916
629	-0.0002113805522208923
630	-0.0010462424969988626
631	-0.0019979831932773126
632	-0.0014335654261704736
633	-0.0016433133253301404
634	-0.0012397599039615514
635	-0.002884801920768352
636	-0.002859495798319288
637	-0.0034956542617047086
638	-0.0022905642256902947
639	-0.0034568547418967607
640	-0.003187178871548528
641	-0.003844897959183594
642	-0.004908379351740703
643	-0.004087202881152435
644	-0.00437522208883551
645	-0.0038484993997599183
646	-0.0038163265306122335
647	-0.004545978391356512
648	-0.0034896038415365826
649	-0.004393421368547451
650	-0.004268187274909959
651	-0.00391198079231691
652	-0.0036239135654261953
653	-0.0030312124849940195
654	-0.002921248499399776
655	-0.0016915246098439633
656	-0.00039687875150060223
657	-0.0003984153661463946
658	-0.0010072028811524956
659	-0.00023855942376950896
660	-0.0005048739495799476
661	0.0005395438175270102
662	0.0006268427370948081
663	7.966386554623187e-05
664	-0.0008682352941176571
665	-0.0005321008403361535
666	-0.0006087394957983372
667	-0.0017668187274910128
668	-0.0016864825930372326
669	-0.0002600720288114911
670	-0.0017164945978391272
671	-0.0015440576230492794
672	-0.000529171668667481
673	0.0006372148859543554
674	0.0003946698679472039
675	-0.0007110204081632466
676	-0.0007953421368547371
677	-5.426170468181158e-06
678	8.163265306119175e-05
679	-0.00011783913565426467
680	-0.0005571668667467039
681	-0.0008465306122449343
682	0.0013099639855942316
683	0.00016816326530612498
684	-0.00015313325330130797
685	-0.0006005282112845487
686	-0.0002137815126050431
687	1.3877551020393355e-05
688	0.0008812965186074356
689	0.000758415366146481
690	0.0004991116446578671
691	-0.0003939495798319346
692	-0.0008935894357743362
693	-0.0008202160864345804
694	-0.0013993757503001365
695	-0.0011662424969988232
696	-0.00155212484993995
697	-0.001933973589435776
698	-0.002528163265306072
699	-0.0037725810324129613
700	-0.0029722929171668816
701	-0.0037174069627851124
702	-0.0042394237695077734
703	-0.0036215606242497103
704	-0.004165378151260465
705	-0.003062040816326505
706	-0.002371524609843932
707	-0.0020428331332532973
708	-0.001801488595438172
709	-0.002341224489795914
710	-0.0024565666266506653
711	-0.0021952941176470635
712	-0.0014448019207682831
713	-0.0016754861944777738
714	-0.0018419207683073348
715	-0.0016888835534213497
716	-0.0017506362545018075
717	-0.003467755102040838
718	-0.0025259063625450253
719	-0.0008901800720287977
720	-0.0013878031212484932
721	-0.0009902521008403479
722	-0.001446530612244861
723	6.03121248499407e-05
724	-0.0005130852340936488
725	-0.0016827370948379419
726	-0.0017648019207682972
727	-0.0003326770708283237
728	-0.00028763505402163147
729	0.00023707082833132194
730	0.0006013925570228086
731	7.683073229388234e-06
732	0.000745834333733541
733	-0.0004445138055222043
