English,Algonquin,region; subregion
Argue,Ajidewe; ayajidewe,Algonquian; Central Algonquian
Arrive,Tagoshin,Algonquian; Central Algonquian
Baby,Abinodjinjish; pebens,Algonquian; Central Algonquian
Arrow,Anwi,Algonquian; Central Algonquian
Back,Obikwan,Algonquian; Central Algonquian
Arrow-head,Nabahigan,Algonquian; Central Algonquian
Bad,Madji,Algonquian; Central Algonquian
steel-tipped,Azawan,Algonquian; Central Algonquian
Bald,Pashkoz,Algonquian; Central Algonquian
Ash,Agimak,Algonquian; Central Algonquian
Ball,Pikwakwad,Algonquian; Central Algonquian
Ashes,Pingwi; akanibig,Algonquian; Central Algonquian
Balsam; fir,Shingob,Algonquian; Central Algonquian
Assist,Wldokaz,Algonquian; Central Algonquian
Banana,Kikewakomin,Algonquian; Central Algonquian
At least,Kanage; enowek,Algonquian; Central Algonquian
Bannock,Nabagidj1zigan,Algonquian; Central Algonquian
Attractive,Kwenadj,Algonquian; Central Algonquian
Banter,Papijim,Algonquian; Central Algonquian
August,Adatagagomin k1zis,Algonquian; Central Algonquian
Barbotte,Wawasi; awasizi,Algonquian; Central Algonquian
"Bark, tree",Wanagek,Algonquian; Central Algonquian
Barrel,Wawiyandagan,Algonquian; Central Algonquian
Axe,Wagakwad,Algonquian; Central Algonquian
Bass,Ashigan; manashigan,Algonquian; Central Algonquian
Bay,Wikwed,Algonquian; Central Algonquian
Beans,Azah1n; azahinsan,Algonquian; Central Algonquian
"Beans, string",Pindjikoman,Algonquian; Central Algonquian
Bear,Makwa,Algonquian; Central Algonquian
"Bear, polar",Wabi-makwa,Algonquian; Central Algonquian
Beaver,Amik,Algonquian; Central Algonquian
Arm Onik,Babish; rawhide Pishaganab,Algonquian; Central Algonquian
Arrive Tagoshin Baby,Abinodjinjish; pebens,Algonquian; Central Algonquian
Arrow Anwi Back,Obikwan,Algonquian; Central Algonquian
Arrow-head Nabahigan Bad,Madji,Algonquian; Central Algonquian
Arrow; war; Bag; sack,Mashkimod,Algonquian; Central Algonquian
northern lights Basket,Awadjiwinagan,Algonquian; Central Algonquian
Awl Migos,"Basket, birch bark Wigwemod",Algonquian; Central Algonquian
