English,Algonquin,region; subregion
Axe Wagakwad Bass,Ashigan; manashigan,Algonquian; Central Algonquian
"Beaver, 3 yrs. Pedamik","Birch bark, removed Tashkigwan",Algonquian; Central Algonquian
Beaver cabin,Amik-w1sh,Algonquian; Central Algonquian
Beaver dam,Okonim; kibwagawinigan,Algonquian; Central Algonquian
"(i.e., blocking a flow)","Birch bark, used Wigwasapakwey",Algonquian; Central Algonquian
Beaver pond,Wlsakobi,Algonquian; Central Algonquian
Biscuit,Anakona,Algonquian; Central Algonquian
Bed,Nibagan,Algonquian; Central Algonquian
Bitter,Wisagan,Algonquian; Central Algonquian
"Bed, bunk",Tesawon,Algonquian; Central Algonquian
Blackfly,Pikodjisi,Algonquian; Central Algonquian
Bed-sheet,Nibaganigin,Algonquian; Central Algonquian
Blanket,Wabowayan,Algonquian; Central Algonquian
Bee,Amo,Algonquian; Central Algonquian
Blood,Miskwi,Algonquian; Central Algonquian
Bee's nest,Amowozoson,Algonquian; Central Algonquian
Blouse,Kishkagonan;,Algonquian; Central Algonquian
Beech,Ajawemij,Algonquian; Central Algonquian
Beech-nut,Ajawemin,Algonquian; Central Algonquian
Blueberries,Minan,Algonquian; Central Algonquian
Beef,Adikwiyas,Algonquian; Central Algonquian
Bluebird,Ojawano,Algonquian; Central Algonquian
Beer,Shingoblwabo; nabiyen,Algonquian; Central Algonquian
Bluejay,Tendesl;,Algonquian; Central Algonquian
· Board (to),Poz,Algonquian; Central Algonquian
Beside,Opime ahl; opime -,Algonquian; Central Algonquian
Body,Owiyaw,Algonquian; Central Algonquian
Big,Misha,Algonquian; Central Algonquian
Bone,Okan,Algonquian; Central Algonquian
Big lake,Mishigama,Algonquian; Central Algonquian
Book,Mazinahigan,Algonquian; Central Algonquian
Big waves,Mamangadigwl;,Algonquian; Central Algonquian
Bow,Mitigwab,Algonquian; Central Algonquian
Birch,Wigwas,Algonquian; Central Algonquian
Bow-string,Achab,Algonquian; Central Algonquian
Birch bark,Wlgwas,Algonquian; Central Algonquian
Box,Makak,Algonquian; Central Algonquian
good,Branchy (tree) N iskandagi zi;,Algonquian; Central Algonquian
Brave,S6ngideye,Algonquian; Central Algonquian
Before Kidjibwamashi;,pikwakogwewesi,Algonquian; Central Algonquian
mamangashka Born,Nig,Algonquian; Central Algonquian
Bread,Pakwejigan,Algonquian; Central Algonquian
Break-up,Pakwahan,Algonquian; Central Algonquian
Breast,Todosh,Algonquian; Central Algonquian
Bridge,Ajogan,Algonquian; Central Algonquian
Brilliant,washe,Algonquian; Central Algonquian
Broil,Abwe,Algonquian; Central Algonquian
Broken,Pigoshka; pokoshka,Algonquian; Central Algonquian
Broom,Ch ish em igwan,Algonquian; Central Algonquian
"Brother, man",Dawema,Algonquian; Central Algonquian
Bug; insect,Manidjosh,Algonquian; Central Algonquian
Bull,"Nabedik; slang - tolo,",Algonquian; Central Algonquian
Bunk-bed,Tesawon,Algonquian; Central Algonquian
Burn,lshkwaz,Algonquian; Central Algonquian
Burnt,lshkwade,Algonquian; Central Algonquian
Bury,Ningwaw; ningwahan,Algonquian; Central Algonquian
Butter,Todosh-pimide,Algonquian; Central Algonquian
Butterfly,Memengwe,Algonquian; Central Algonquian
Butternut,Paganakomi naganj;,Algonquian; Central Algonquian
Buy,Kishpinadon,Algonquian; Central Algonquian
Ceiling,Pindapakwan,Algonquian; Central Algonquian
Cellar,Anakab,Algonquian; Central Algonquian
Cabin,Nasawehigan; tesigan;,Algonquian; Central Algonquian
wakahigan (any walled,Center; middle Nasaw,Algonquian; Central Algonquian
Chair,Tesabowagan;,Algonquian; Central Algonquian
Call,Nandwewem; pibagim,Algonquian; Central Algonquian
Channel,Wabadjiwan,Algonquian; Central Algonquian
Cancer,Amogowin,Algonquian; Central Algonquian
Chest,Okakigan,Algonquian; Central Algonquian
Candy,Sizibakwadons;,Algonquian; Central Algonquian
Chick,Panadjanj,Algonquian; Central Algonquian
Canoe,·chiman,Algonquian; Central Algonquian
"Chicken, hen",Nbjese,Algonquian; Central Algonquian
Capricious,Wiyagiskadj,Algonquian; Central Algonquian
Chief; king,Ogima,Algonquian; Central Algonquian
Caribou,lninadik,Algonquian; Central Algonquian
Child,Abinodjinsh;,Algonquian; Central Algonquian
Chin,Odamikan,Algonquian; Central Algonquian
Carpenter,Mokodasowinin1,Algonquian; Central Algonquian
Chipmunk,Agwingos,Algonquian; Central Algonquian
Christmas,Niba-ayamiyaniwan,Algonquian; Central Algonquian
Carrot,Ozawokadeyab,Algonquian; Central Algonquian
Church,Ayamiye-wigiwam,Algonquian; Central Algonquian
Cartridge,Monz-asin,Algonquian; Central Algonquian
Cigar,Pimatag,Algonquian; Central Algonquian
Cat,Kajagens,Algonquian; Central Algonquian
Cigarette,Pimibaginigan,Algonquian; Central Algonquian
Catfish,Manameg,Algonquian; Central Algonquian
Cinders,Akanibig,Algonquian; Central Algonquian
Cautiously,Kagidadi,Algonquian; Central Algonquian
Clam; oyster,Es; esag (pl.),Algonquian; Central Algonquian
Cave,Wimbabikan,Algonquian; Central Algonquian
Clean,Pinad,Algonquian; Central Algonquian
Cave (den),Waj,Algonquian; Central Algonquian
Clean (fish),Ojahamegwe,Algonquian; Central Algonquian
Cedar,Kijik,Algonquian; Central Algonquian
Clearing,Mishishawa; shibeya,Algonquian; Central Algonquian
Calf (leg) Onan,tesabiwagan,Algonquian; Central Algonquian
Cancer Amogowin Chest,Okakigan,Algonquian; Central Algonquian
shiwidjish Chicken,Pagakwan,Algonquian; Central Algonquian
Caribou lninadik Child,Abinodjinsh;,Algonquian; Central Algonquian
Carp; sucker Namebin,pashkwadjash (slang),Algonquian; Central Algonquian
Climb,Akwandawe,Algonquian; Central Algonquian
Clumsy,Ninamiz,Algonquian; Central Algonquian
Coals; embers,akakanje,Algonquian; Central Algonquian
Cold,Kikadj,Algonquian; Central Algonquian
Cover,Kibahigan (stopper);,Algonquian; Central Algonquian
Confluence,Madawa,Algonquian; Central Algonquian
Cover (to),Agonahan,Algonquian; Central Algonquian
Cow,Adik,Algonquian; Central Algonquian
Continent,Kidagam,Algonquian; Central Algonquian
Cook,Chibakwe,Algonquian; Central Algonquian
Cool,Takiz,Algonquian; Central Algonquian
"Cranberries,",Anibimin,Algonquian; Central Algonquian
Cord,Takobidjigan,Algonquian; Central Algonquian
Crane (bird),Adjidjak,Algonquian; Central Algonquian
Corn,Mandamin,Algonquian; Central Algonquian
Crazy,Agawadiz; kiwanadiz,Algonquian; Central Algonquian
Corner,Wikweya,Algonquian; Central Algonquian
Creek,Slbiwi shenj,Algonquian; Central Algonquian
Country,Tanakiwin; --aki,Algonquian; Central Algonquian
"Cousin, between men Tawis",Crooked knife; Mokodagan,Algonquian; Central Algonquian
Come Ondas: pijan,Agonabwahigan (lid),Algonquian; Central Algonquian
"Cool Takiz Cranberries,",Anibimin,Algonquian; Central Algonquian
Cross,Chibayatig,Algonquian; Central Algonquian
Cross (be),Madjiw; akotewiz,Algonquian; Central Algonquian
Crow,Andeg,Algonquian; Central Algonquian
Dam,Kibwagawinigan;,Algonquian; Central Algonquian
Current,Djiwan (with adverb);,Algonquian; Central Algonquian
Pimidjiwan,"Damp, air or weather Shakaya",Algonquian; Central Algonquian
Curtain,Agohlgibidjigan,Algonquian; Central Algonquian
Dance (noun),Nimfdinan,Algonquian; Central Algonquian
Dark,Tibikad,Algonquian; Central Algonquian
Daughter,D'anis,Algonquian; Central Algonquian
Dawn,Waban; p1daban; awik,Algonquian; Central Algonquian
Day,Kljig,Algonquian; Central Algonquian
Daytime,Kijigad,Algonquian; Central Algonquian
Death,Nibowin,Algonquian; Central Algonquian
Deep,Timi,Algonquian; Central Algonquian
Deer,"Wawashkeshr,",Algonquian; Central Algonquian
December,Pfdjipibon kizis,Algonquian; Central Algonquian
Descend,Nisandawe,Algonquian; Central Algonquian
Descendants,Anikobidaganag,Algonquian; Central Algonquian
Desk,Ojibihigewan,Algonquian; Central Algonquian
Cup Minikwagan; onagans,kibwakwahigan,Algonquian; Central Algonquian
Dive,Kog),Algonquian; Central Algonquian
Drill; auger,Piminigan,Algonquian; Central Algonquian
Dizzy,Klwashkwe,Algonquian; Central Algonquian
Drink,Minikwe,Algonquian; Central Algonquian
Dock,Niminaweyakonigan,Algonquian; Central Algonquian
Drive,Pimibidjige,Algonquian; Central Algonquian
Doctor,Andokoninl; nandokonini,Algonquian; Central Algonquian
Drive (log),Minawebahigenaniwang;,Algonquian; Central Algonquian
Drop,Kidjishkin,Algonquian; Central Algonquian
"Dog, female",Nojesim,Algonquian; Central Algonquian
Drown,Kibwanamabawe;,Algonquian; Central Algonquian
"Dog, pup",Oshkasim; animons;,Algonquian; Central Algonquian
Drunk,K1washkwebi; monjito,Algonquian; Central Algonquian
--ayens (with �oss.,(slightly drunk),Algonquian; Central Algonquian
Dry,Pate; pas,Algonquian; Central Algonquian
Dollar,--wabik (with no. pref.),Algonquian; Central Algonquian
Dry (to),Pasan; paswe,Algonquian; Central Algonquian
Donkey; mule,Misabos,Algonquian; Central Algonquian
Duck,Jishib; shishib,Algonquian; Central Algonquian
Door,lshkwandem,Algonquian; Central Algonquian
Duck (to),Tabazi,Algonquian; Central Algonquian
Dore; walleye,Oga,Algonquian; Central Algonquian
Dull,Ajowa,Algonquian; Central Algonquian
Dullard,Kopadiz,Algonquian; Central Algonquian
Dough,Ojidjishkiwaginigan,Algonquian; Central Algonquian
Dusk,Nikiwagad,Algonquian; Central Algonquian
Down,Nlsehi,Algonquian; Central Algonquian
Dye,Adisigan,Algonquian; Central Algonquian
Dragon fly,Shlyaweyagidjisi;,Algonquian; Central Algonquian
Drawing,Mazinibihigan,Algonquian; Central Algonquian
Draw-knife;,Mokodagan,Algonquian; Central Algonquian
Dream,Bawadjigan;,Algonquian; Central Algonquian
Dream (to),lnabandam;,Algonquian; Central Algonquian
Dress (to),Pidjikonaye,Algonquian; Central Algonquian
Drifting,Webabog,Algonquian; Central Algonquian
Dog Animosh; --ay,pimabigochigenaniwang,Algonquian; Central Algonquian
"Dog, male Nabesim",nisabawe,Algonquian; Central Algonquian
Envy,Chlsawagenindamowin,Algonquian; Central Algonquian
Eagle,Kiniw; mikiziw,Algonquian; Central Algonquian
Epiphany,Niswi ogimag,Algonquian; Central Algonquian
Early,Wibadj,Algonquian; Central Algonquian
Especially,Memindage,Algonquian; Central Algonquian
Earring,Nabishewon,Algonquian; Central Algonquian
Exactly,Maya,Algonquian; Central Algonquian
Earthquake,Kwlngwan,Algonquian; Central Algonquian
Explode,Pashkide,Algonquian; Central Algonquian
East,Wabanong,Algonquian; Central Algonquian
Extraordinary,Mamanda,Algonquian; Central Algonquian
Easter,Abidjibadj,Algonquian; Central Algonquian
Eye,Oshkinjig,Algonquian; Central Algonquian
Eat,Wisin,Algonquian; Central Algonquian
Eyebrow,Omama;,Algonquian; Central Algonquian
Eat (raw),Ashkib,Algonquian; Central Algonquian
Eyeglasses,Wabikawonan,Algonquian; Central Algonquian
Echo,Paswewe,Algonquian; Central Algonquian
Eyelash,Mishabawinan,Algonquian; Central Algonquian
Eel; lamprey,Minashkadjosh; pimizl,Algonquian; Central Algonquian
Egg,waw,Algonquian; Central Algonquian
"Egg.fish, roe",Wak,Algonquian; Central Algonquian
Egg shell,Okanawan,Algonquian; Central Algonquian
Egg white,Wabawan,Algonquian; Central Algonquian
Egg yolk,Miskwawan,Algonquian; Central Algonquian
Elbow,Odoskwan,Algonquian; Central Algonquian
Elders,Kejeyadizidjig;,Algonquian; Central Algonquian
Elephant,Shegimak,Algonquian; Central Algonquian
Elm,Anib,Algonquian; Central Algonquian
Embers; coals,Akakanje,Algonquian; Central Algonquian
Enough,Tibise,Algonquian; Central Algonquian
Ear Otawag,(three kings),Algonquian; Central Algonquian
Early Wibadj Especially,Memindage,Algonquian; Central Algonquian
Easter Abidjibadj Eye,Oshkinjig,Algonquian; Central Algonquian
Finger,lnindjan,Algonquian; Central Algonquian
Fall,Pangishin,Algonquian; Central Algonquian
"Finger, 1st",lnonindjan,Algonquian; Central Algonquian
"Family, a",Ningodode,Algonquian; Central Algonquian
"Finger, thumb",Mindjichin,Algonquian; Central Algonquian
Fan,Wewesewon;,Algonquian; Central Algonquian
Fir; balsam,Shingob,Algonquian; Central Algonquian
Fire,lshkode,Algonquian; Central Algonquian
Far,Wasa; awasa,Algonquian; Central Algonquian
Fire (douse),Atawe,Algonquian; Central Algonquian
-Farm; garden,Kitigan,Algonquian; Central Algonquian
Firefly,Wawatesl,Algonquian; Central Algonquian
Fire (lit),Piskane,Algonquian; Central Algonquian
Fast,Kijlka,Algonquian; Central Algonquian
Fireman,Podawewinin'l,Algonquian; Central Algonquian
Fat,Wlnin,Algonquian; Central Algonquian
Father,N'os; tada,Algonquian; Central Algonquian
Father-in-law,Shinis,Algonquian; Central Algonquian
Fawn,Kidagagons,Algonquian; Central Algonquian
Fish,Kigonz,Algonquian; Central Algonquian
Fearful,Shagodeye,Algonquian; Central Algonquian
Fish (to),Wewebinabi;,Algonquian; Central Algonquian
Feast,Magoshewin,Algonquian; Central Algonquian
February,Akakwidjish kizis,Algonquian; Central Algonquian
Fish-hook,Migiskan,Algonquian; Central Algonquian
Female,Noje,Algonquian; Central Algonquian
Fish-line,Migiskaneyab,Algonquian; Central Algonquian
Fence,Michikan,Algonquian; Central Algonquian
Fish-lure,Odadjigokan,Algonquian; Central Algonquian
Fern,Anaganiwashk,Algonquian; Central Algonquian
Fishing rod,Migiskanatig,Algonquian; Central Algonquian
Field,M ishawishkode,Algonquian; Central Algonquian
File,Kawibodjigan;,Algonquian; Central Algonquian
Fish (troll),Odadjigoke,Algonquian; Central Algonquian
Fisher,Odjig,Algonquian; Central Algonquian
First,Nitam,Algonquian; Central Algonquian
Forehead,Oskatig,Algonquian; Central Algonquian
Fist,Pidigwakonindjan,Algonquian; Central Algonquian
Forest,Nopimi,Algonquian; Central Algonquian
Flat,Nabaga,Algonquian; Central Algonquian
Forested,Nopimlwan,Algonquian; Central Algonquian
Flat (ground),Tatagwa,Algonquian; Central Algonquian
wawijingewin,"Forest, clear area Shlbeya; shlgakwa",Algonquian; Central Algonquian
"Flooded, house or Moshkahog","Forest, new growth Oshkakweya",Algonquian; Central Algonquian
basement,"Forest, sheltered area Tibinawa",Algonquian; Central Algonquian
Flour,Napane;napanenag (mo,Algonquian; Central Algonquian
Fork,Padakahigan,Algonquian; Central Algonquian
Forked,Ningidawa,Algonquian; Central Algonquian
Flower,Wabigon,Algonquian; Central Algonquian
Forked stick,Nasawabidehigan; tawabidehiga,Algonquian; Central Algonquian
Flowing,Pimidjiwan,Algonquian; Central Algonquian
Fly,OdF,Algonquian; Central Algonquian
Fly (to),Pimisaw,Algonquian; Central Algonquian
Fort,Wakahigan,Algonquian; Central Algonquian
Foam,Pite,Algonquian; Central Algonquian
Fox,Wagosh,Algonquian; Central Algonquian
Fog,Awan; kashkawan,Algonquian; Central Algonquian
Frame,Nabakoshindjigan,Algonquian; Central Algonquian
Folded,Piskinigade,Algonquian; Central Algonquian
Friday,Chibayatigo-gijigad,Algonquian; Central Algonquian
Follow,Nosanew; nopinana,Algonquian; Central Algonquian
Fried,Sate,Algonquian; Central Algonquian
Food,Midjim,Algonquian; Central Algonquian
Frog,Omagaki; tanende,Algonquian; Central Algonquian
"Frog, bull",Omamano,Algonquian; Central Algonquian
Foot,Ozid,Algonquian; Central Algonquian
Frosted,Nigigwadin,Algonquian; Central Algonquian
Garden; farm,Kitigan,Algonquian; Central Algonquian
Gather,Mamindonige,Algonquian; Central Algonquian
Generous,Kijewadiz,Algonquian; Central Algonquian
Gentle,Nokideye; wawlngadiz,Algonquian; Central Algonquian
Girl,lkwesins,Algonquian; Central Algonquian
Give,Mlj; mlgiwe,Algonquian; Central Algonquian
Glasses (eye),Wabikawonan,Algonquian; Central Algonquian
Glue,Agokiwasigan,Algonquian; Central Algonquian
Glued; stuck,Agokl·,Algonquian; Central Algonquian
Go; leave,Madia,Algonquian; Central Algonquian
Go (to),lja,Algonquian; Central Algonquian
Goat,M inago-m an ichen ish,Algonquian; Central Algonquian
Gold,Ozawi - joniya,Algonquian; Central Algonquian
Good,Mino; kwenadj,Algonquian; Central Algonquian
Good-bye,Madjashin,Algonquian; Central Algonquian
Goose (farm),Wewe,Algonquian; Central Algonquian
Goose (wild),Nika,Algonquian; Central Algonquian
Gooseberry,Shambomin,Algonquian; Central Algonquian
Grandchild,D'oshis,Algonquian; Central Algonquian
Grandfather,Mishomis,Algonquian; Central Algonquian
Grandmother,Kokomis,Algonquian; Central Algonquian
Grass,Mijashki,Algonquian; Central Algonquian
Grasshopper,Papakine,Algonquian; Central Algonquian
Great,Kije,Algonquian; Central Algonquian
Grebe,Shingibis,Algonquian; Central Algonquian
Gross; oafish,Kopadiz,Algonquian; Central Algonquian
Hair,Ominisisan,Algonquian; Central Algonquian
Groundhog,Akakwidjlsh,Algonquian; Central Algonquian
Half,Abita,Algonquian; Central Algonquian
Gum,Pigiw,Algonquian; Central Algonquian
Hand,Onindj,Algonquian; Central Algonquian
Gum (balsam),Papashkiw,Algonquian; Central Algonquian
Handerchief,S1nsklgomewon;,Algonquian; Central Algonquian
Gun,Pashkizigan,Algonquian; Central Algonquian
Happiness,Minawaziwin;,Algonquian; Central Algonquian
Gun-powder,Makade,Algonquian; Central Algonquian
Hard,Mashkawa,Algonquian; Central Algonquian
Harness,Takobizowinan,Algonquian; Central Algonquian
Hat,Wiwakwan,Algonquian; Central Algonquian
Haul,Awadon; pimidabi,Algonquian; Central Algonquian
Haunch,Onogan,Algonquian; Central Algonquian
Have,Ayan,Algonquian; Central Algonquian
Hawk,"Kegek; ""kesiw"" addec",Algonquian; Central Algonquian
Hazy,Pakwene,Algonquian; Central Algonquian
Head,Oshtigwan,Algonquian; Central Algonquian
Hear,Nondam,Algonquian; Central Algonquian
Heart,Odey,Algonquian; Central Algonquian
Heaven,Wakwl,Algonquian; Central Algonquian
Hello,Kwey,Algonquian; Central Algonquian
Hemlock,Kagagimij,Algonquian; Central Algonquian
Hen,Nojese,Algonquian; Central Algonquian
Here,Ondaje,Algonquian; Central Algonquian
Heron,Ashage; moshkahosi,Algonquian; Central Algonquian
Hiccough,Onawe,Algonquian; Central Algonquian
Hit,Mlkwaw; pagitew (punch),Algonquian; Central Algonquian
Holy,Kichitwa,Algonquian; Central Algonquian
Honey,Amosizibakwad,Algonquian; Central Algonquian
Horizon,Eshwakamigag,Algonquian; Central Algonquian
Horse,Pebejigogashkwe;,Algonquian; Central Algonquian
House,Mlgiwam; wlgiwlim,Algonquian; Central Algonquian
How,Anln,Algonquian; Central Algonquian
How many?,Anln minigik; anin daso;,Algonquian; Central Algonquian
Humming-bird,Nanokase,Algonquian; Central Algonquian
Hungry,Pakade (rare); wl-wisin;,Algonquian; Central Algonquian
Hunt,Anoki,Algonquian; Central Algonquian
Hurry,Wewib,Algonquian; Central Algonquian
Husband,Widigemagan; nabem,Algonquian; Central Algonquian
Intelligent,Waseyadiz; kagltawiz;,Algonquian; Central Algonquian
Ice,Mikwam,Algonquian; Central Algonquian
Intestine,Onagij,Algonquian; Central Algonquian
Ice cream,Ka-dakag,Algonquian; Central Algonquian
Inuit,Ashkibo,Algonquian; Central Algonquian
Ironwood,Manan,Algonquian; Central Algonquian
Idol,Manidokadjigan,Algonquian; Central Algonquian
Island,Minitig,Algonquian; Central Algonquian
Island (reef),Minisinabik,Algonquian; Central Algonquian
Indian,Anishinabe,Algonquian; Central Algonquian
Island (rock),Minisabik,Algonquian; Central Algonquian
"Indian, Cree",Kinistlno,Algonquian; Central Algonquian
"Indian woman,",Wadjawon,Algonquian; Central Algonquian
"Indian, Sioux",Bwan,Algonquian; Central Algonquian
In-laws,Ojimindaganag,Algonquian; Central Algonquian
Inlet,Saging,Algonquian; Central Algonquian
Insect; bug,Manidjosh,Algonquian; Central Algonquian
Inside,Pindj; pindjehi,Algonquian; Central Algonquian
Kettle,Shishib akik,Algonquian; Central Algonquian
Jackpine,Okikens,Algonquian; Central Algonquian
Kill,Nisa,Algonquian; Central Algonquian
January,Kenozidj klzis; kichi-glzis;,Algonquian; Central Algonquian
Jaw,Odamikan,Algonquian; Central Algonquian
Knee,Ogidig,Algonquian; Central Algonquian
Jealousy,Kangwenindamowin,Algonquian; Central Algonquian
Jelly,Ka-dotobiseg,Algonquian; Central Algonquian
Joined,Anikosin,Algonquian; Central Algonquian
Joy to him!;,Ningodawasingwa,Algonquian; Central Algonquian
July,Miskomin kizis,Algonquian; Central Algonquian
June,Odehimin kfzis,Algonquian; Central Algonquian
Juniper,Akawanj,Algonquian; Central Algonquian
Jaw Odamikan Knee,Ogidig,Algonquian; Central Algonquian
Like,Minwenim; minwenindam,Algonquian; Central Algonquian
Lake,Sagahigan,Algonquian; Central Algonquian
Likely; apt,Kanabadj,Algonquian; Central Algonquian
"Lake, big",Mishigama,Algonquian; Central Algonquian
Limb; branch,Odikwan,Algonquian; Central Algonquian
Limping,Tadjise,Algonquian; Central Algonquian
"Lake, inlet",Sagt,Algonquian; Central Algonquian
"Lake, outlet",Kodjidjf,Algonquian; Central Algonquian
Lake trout,Namegos,Algonquian; Central Algonquian
Liquor,lshkodewabo,Algonquian; Central Algonquian
Lame,Makiz,Algonquian; Central Algonquian
Liver,Okon,Algonquian; Central Algonquian
Lamp,Wasakonenindamagan,Algonquian; Central Algonquian
Lizard,Kikadanang,Algonquian; Central Algonquian
Lamprey; eel,"Minashkadjosh; pimizi ,",Algonquian; Central Algonquian
LaP. (seated person) Odjlngwan,salamander,Algonquian; Central Algonquian
Large,Mangi; misha,Algonquian; Central Algonquian
Lonely,Shigadenin dam;,Algonquian; Central Algonquian
Look,lnab,Algonquian; Central Algonquian
Last,lshkwe; ishkwayadj,Algonquian; Central Algonquian
Loon,Mang,Algonquian; Central Algonquian
Late,Wikad,Algonquian; Central Algonquian
Lose,Waniton,Algonquian; Central Algonquian
Laugh,Pap,Algonquian; Central Algonquian
Louse,lkwa,Algonquian; Central Algonquian
Laughter,Papiwin,Algonquian; Central Algonquian
Love,Sagiya; sagihidiwin,Algonquian; Central Algonquian
Leaf,Anibish,Algonquian; Central Algonquian
Lower back,Ojigan,Algonquian; Central Algonquian
Leaky,Onzika,Algonquian; Central Algonquian
Lucky,Onawaz,Algonquian; Central Algonquian
Leg,Okad,Algonquian; Central Algonquian
Lunch,Nawapon,Algonquian; Central Algonquian
Light,Wasakonendamagan,Algonquian; Central Algonquian
Lung,Opan,Algonquian; Central Algonquian
Laughter Papiwin Love,Sagiya; sagihidiwin,Algonquian; Central Algonquian
Leaf Anibish Lower back,Ojigan,Algonquian; Central Algonquian
Leaky Onzika Lucky,Onawaz,Algonquian; Central Algonquian
Maggot,Okwe,Algonquian; Central Algonquian
Magpie,Kwingwishi,Algonquian; Central Algonquian
Male,Nabe,Algonquian; Central Algonquian
Man,lninf,Algonquian; Central Algonquian
Many,maneg,Algonquian; Central Algonquian
Maple,lninatig,Algonquian; Central Algonquian
Maple sap,Onziban,Algonquian; Central Algonquian
Maple sugar,Miziwechigan,Algonquian; Central Algonquian
"Maple sugar,",Pengwawingwehigan,Algonquian; Central Algonquian
Maple syrup,lninatigo-naminas;,Algonquian; Central Algonquian
March,Niki kizis,Algonquian; Central Algonquian
Mark,Mazin ad an,Algonquian; Central Algonquian
Marsh,Mashkosi,Algonquian; Central Algonquian
Marten,Wabisheshi,Algonquian; Central Algonquian
Mat,Kaslzideshimowin;,Algonquian; Central Algonquian
Matches,lshkodensan,Algonquian; Central Algonquian
Mattress,Apishimon; apishimowin,Algonquian; Central Algonquian
May,Wabigon kizis,Algonquian; Central Algonquian
Maybe,Konima,Algonquian; Central Algonquian
Measles,Miskwajewin,Algonquian; Central Algonquian
"Moose, cow",Anldjani,Algonquian; Central Algonquian
Meat,Wiyas,Algonquian; Central Algonquian
More,Kiyabadj,Algonquian; Central Algonquian
"Meat, beaver",Amik - wfyas,Algonquian; Central Algonquian
Morning,Kigijebawagad,Algonquian; Central Algonquian
"Meat, fish",--oskaw (preceded by,Algonquian; Central Algonquian
"Meat, moose",Monz-wlyas,Algonquian; Central Algonquian
"Moss, algae",Atagib,Algonquian; Central Algonquian
"Moss, lichen",Wakon; ojashagon,Algonquian; Central Algonquian
Medal,Esimik,Algonquian; Central Algonquian
Medicine,Mashkiki,Algonquian; Central Algonquian
Medicine man,Mide; wabano;,Algonquian; Central Algonquian
Meet,Nagishkaw,Algonquian; Central Algonquian
Moth,Kogowesi; todowesi,Algonquian; Central Algonquian
Milk,Todoshanabo,Algonquian; Central Algonquian
Mother,Nin'ga,Algonquian; Central Algonquian
Milt of fish,Otrgwag,Algonquian; Central Algonquian
Mink,Shangweshi,Algonquian; Central Algonquian
Moult,Pinigwane; andjigwane,Algonquian; Central Algonquian
Minnow,Awadosi,Algonquian; Central Algonquian
Mountain,Pikwadin,Algonquian; Central Algonquian
Mitten,Mindjikawan,Algonquian; Central Algonquian
Mouse,Wabigonodjinsh,Algonquian; Central Algonquian
Molasses,Naminas,Algonquian; Central Algonquian
Monday,Metizowini-gijigad,Algonquian; Central Algonquian
Mouth,Odon,Algonquian; Central Algonquian
Money,Shoniya,Algonquian; Central Algonquian
Much,Maned; nibina,Algonquian; Central Algonquian
Monkey,Madjinashaweshi,Algonquian; Central Algonquian
Mule; donkey,Misaboz,Algonquian; Central Algonquian
Month,Klzis,Algonquian; Central Algonquian
Mushroom,Wabado; wajashkwedo;,Algonquian; Central Algonquian
Moonlight,Kijigate,Algonquian; Central Algonquian
Muskeg,Pagwashkig;,Algonquian; Central Algonquian
